id_daerah_magang,nama_daerah,jenis_daerah,id_provinsi
176,Cirebon,Kabupaten,12
177,Garut,Kabupaten,12
178,Indramayu,Kabupaten,12
179,Karawang,Kabupaten,12
180,Kuningan,Kabupaten,12
181,Majalengka,Kabupaten,12
182,Pangandaran,Kabupaten,12
183,Purwakarta,Kabupaten,12
184,Subang,Kabupaten,12
185,Sukabumi,Kabupaten,12
186,Sumedang,Kabupaten,12
187,Tasikmalaya,Kabupaten,12
188,Magelang,Kota,13
189,Pekalongan,Kota,13
190,Salatiga,Kota,13
191,Semarang,Kota,13
192,Surakarta,Kota,13
193,Tegal,Kota,13
194,Banjarnegara,Kabupaten,13
195,Banyumas,Kabupaten,13
196,Batang,Kabupaten,13
197,Blora,Kabupaten,13
198,Boyolali,Kabupaten,13
199,Brebes,Kabupaten,13
200,Cilacap,Kabupaten,13
201,Demak,Kabupaten,13
202,Grobogan,Kabupaten,13
203,Jepara,Kabupaten,13
204,Karanganyar,Kabupaten,13
205,Kebumen,Kabupaten,13
206,Kendal,Kabupaten,13
207,Klaten,Kabupaten,13
208,Kudus,Kabupaten,13
209,Magelang,Kabupaten,13
210,Pati,Kabupaten,13
211,Pekalongan,Kabupaten,13
212,Pemalang,Kabupaten,13
213,Purbalingga,Kabupaten,13
214,Purworejo,Kabupaten,13
215,Rembang,Kabupaten,13
216,Semarang,Kabupaten,13
217,Sragen,Kabupaten,13
218,Sukoharjo,Kabupaten,13
219,Tegal,Kabupaten,13
220,Temanggung,Kabupaten,13
221,Wonogiri,Kabupaten,13
222,Wonosobo,Kabupaten,13
223,Yogyakarta,Kota,14
224,Bantul,Kabupaten,14
225,Gunungkidul,Kabupaten,14
226,Kulon Progo,Kabupaten,14
227,Sleman,Kabupaten,14
228,Batu,Kota,15
229,Blitar,Kota,15
230,Kediri,Kota,15
231,Madiun,Kota,15
232,Malang,Kota,15
233,Mojokerto,Kota,15
234,Pasuruan,Kota,15
235,Probolinggo,Kota,15
236,Surabaya,Kota,15
237,Bangkalan,Kabupaten,15
238,Banyuwangi,Kabupaten,15
239,Blitar,Kabupaten,15
240,Bojonegoro,Kabupaten,15
241,Bondowoso,Kabupaten,15
242,Gresik,Kabupaten,15
243,Jember,Kabupaten,15
244,Jombang,Kabupaten,15
245,Kediri,Kabupaten,15
246,Lamongan,Kabupaten,15
247,Lumajang,Kabupaten,15
248,Madiun,Kabupaten,15
249,Magetan,Kabupaten,15
250,Malang,Kabupaten,15
251,Mojokerto,Kabupaten,15
252,Nganjuk,Kabupaten,15
253,Ngawi,Kabupaten,15
254,Pacitan,Kabupaten,15
255,Pamekasan,Kabupaten,15
256,Pasuruan,Kabupaten,15
257,Ponorogo,Kabupaten,15
258,Probolinggo,Kabupaten,15
259,Sampang,Kabupaten,15
260,Sidoarjo,Kabupaten,15
261,Situbondo,Kabupaten,15
262,Sumenep,Kabupaten,15
263,Trenggalek,Kabupaten,15
264,Tuban,Kabupaten,15
265,Tulungagung,Kabupaten,15
266,Cilegon,Kota,16
267,Serang,Kota,16
268,Tangerang,Kota,16
269,Tangerang Selatan,Kota,16
270,Lebak,Kabupaten,16
271,Pandeglang,Kabupaten,16
272,Serang,Kabupaten,16
273,Tangerang,Kabupaten,16
274,Denpasar,Kota,17
275,Badung,Kabupaten,17
276,Bangli,Kabupaten,17
277,Buleleng,Kabupaten,17
278,Gianyar,Kabupaten,17
279,Jembrana,Kabupaten,17
280,Karangasem,Kabupaten,17
281,Klungkung,Kabupaten,17
282,Tabanan,Kabupaten,17
283,Bima,Kota,18
284,Mataram,Kota,18
285,Bima,Kabupaten,18
286,Dompu,Kabupaten,18
287,Lombok Barat,Kabupaten,18
288,Lombok Tengah,Kabupaten,18
289,Lombok Timur,Kabupaten,18
290,Lombok Utara,Kabupaten,18
291,Sumbawa,Kabupaten,18
292,Sumbawa Barat,Kabupaten,18
293,Kupang,Kota,19
294,Alor,Kabupaten,19
295,Belu,Kabupaten,19
296,Ende,Kabupaten,19
297,Flores Timur,Kabupaten,19
298,Kupang,Kabupaten,19
299,Lembata,Kabupaten,19
300,Malaka,Kabupaten,19
301,Manggarai,Kabupaten,19
302,Manggarai Barat,Kabupaten,19
303,Manggarai Timur,Kabupaten,19
304,Nagekeo,Kabupaten,19
305,Ngada,Kabupaten,19
306,Rote Ndao,Kabupaten,19
307,Sabu Raijua,Kabupaten,19
308,Sikka,Kabupaten,19
309,Sumba Barat,Kabupaten,19
310,Sumba Barat Daya,Kabupaten,19
311,Sumba Tengah,Kabupaten,19
312,Sumba Timur,Kabupaten,19
313,Timor Tengah Selatan,Kabupaten,19
314,Timor Tengah Utara,Kabupaten,19
315,Pontianak,Kota,20
316,Singkawang,Kota,20
317,Bengkayang,Kabupaten,20
318,Kapuas Hulu,Kabupaten,20
319,Kayong Utara,Kabupaten,20
320,Ketapang,Kabupaten,20
321,Kubu Raya,Kabupaten,20
322,Landak,Kabupaten,20
323,Melawi,Kabupaten,20
324,Mempawah,Kabupaten,20
325,Sambas,Kabupaten,20
326,Sanggau,Kabupaten,20
327,Sekadau,Kabupaten,20
328,Sintang,Kabupaten,20
329,Palangka Raya,Kota,21
330,Barito Selatan,Kabupaten,21
331,Barito Timur,Kabupaten,21
332,Barito Utara,Kabupaten,21
333,Gunung Mas,Kabupaten,21
334,Kapuas,Kabupaten,21
335,Katingan,Kabupaten,21
336,Kotawaringin Barat,Kabupaten,21
337,Kotawaringin Timur,Kabupaten,21
338,Lamandau,Kabupaten,21
339,Murung Raya,Kabupaten,21
340,Pulang Pisau,Kabupaten,21
341,Sukamara,Kabupaten,21
342,Seruyan,Kabupaten,21
343,Banjarmasin,Kota,22
344,Banjarbaru,Kota,22
345,Balangan,Kabupaten,22
346,Banjar,Kabupaten,22
347,Barito Kuala,Kabupaten,22
348,Hulu Sungai Selatan,Kabupaten,22
349,Hulu Sungai Tengah,Kabupaten,22
350,Hulu Sungai Utara,Kabupaten,22
351,Kotabaru,Kabupaten,22
352,Tabalong,Kabupaten,22
353,Tanah Bumbu,Kabupaten,22
354,Tanah Laut,Kabupaten,22
355,Tapin,Kabupaten,22
356,Balikpapan,Kota,23
357,Bontang,Kota,23
358,Samarinda,Kota,23
359,Berau,Kabupaten,23
360,Kutai Barat,Kabupaten,23
361,Kutai Kartanegara,Kabupaten,23
362,Kutai Timur,Kabupaten,23
363,Mahakam Ulu,Kabupaten,23
364,Paser,Kabupaten,23
365,Penajam Paser Utara,Kabupaten,23
366,Tarakan,Kota,24
367,Bulungan,Kabupaten,24
368,Malinau,Kabupaten,24
369,Nunukan,Kabupaten,24
370,Tana Tidung,Kabupaten,24
371,Bitung,Kota,25
372,Kotamobagu,Kota,25
373,Manado,Kota,25
374,Tomohon,Kota,25
375,Bolaang Mongondow,Kabupaten,25
376,Bolaang Mongondow Selatan,Kabupaten,25
377,Bolaang Mongondow Timur,Kabupaten,25
378,Bolaang Mongondow Utara,Kabupaten,25
379,Kepulauan Sangihe,Kabupaten,25
380,Kepulauan Siau Tagulandang Biaro,Kabupaten,25
381,Kepulauan Talaud,Kabupaten,25
382,Minahasa,Kabupaten,25
383,Minahasa Selatan,Kabupaten,25
384,Minahasa Tenggara,Kabupaten,25
385,Minahasa Utara,Kabupaten,25
386,Palu,Kota,26
387,Banggai,Kabupaten,26
388,Banggai Kepulauan,Kabupaten,26
389,Banggai Laut,Kabupaten,26
390,Buol,Kabupaten,26
391,Donggala,Kabupaten,26
